Statistical profiling result from isolate-0x102800000-v8.log, (6258 ticks, 93 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      3    0.0%    0.1%  LazyCompile: ~checkSignatureDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22974:43
      3    0.0%    0.1%  LazyCompile: ~checkFunctionOrConstructorSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23267:50
      3    0.0%    0.1%  LazyCompile: ~checkExpressionWorker /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22767:39
      3    0.0%    0.1%  LazyCompile: ~addInheritedMembers /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16096:37
      3    0.0%    0.1%  LazyCompile: *write /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:5966:23
      3    0.0%    0.1%  LazyCompile: *tryParseParenthesizedArrowFunctionExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8655:62
      3    0.0%    0.1%  LazyCompile: *substring native string.js:487:25
      3    0.0%    0.1%  LazyCompile: *signaturesRelatedTo /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:18252:41
      3    0.0%    0.1%  LazyCompile: *resolveEntityName /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14076:35
      3    0.0%    0.1%  LazyCompile: *parseTypeAnnotation /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8508:37
      3    0.0%    0.1%  LazyCompile: *parseStatement /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9849:32
      3    0.0%    0.1%  LazyCompile: *parsePropertyOrMethodSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8233:48
      3    0.0%    0.1%  LazyCompile: *parsePrimaryExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:9350:40
      3    0.0%    0.1%  LazyCompile: *parseOptional /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7391:31
      3    0.0%    0.1%  LazyCompile: *narrowTypeByTruthiness /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19435:44
      3    0.0%    0.1%  LazyCompile: *isOrContainsMatchingReference /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:19106:47
      3    0.0%    0.1%  LazyCompile: *isListTerminator /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7645:34
      3    0.0%    0.1%  LazyCompile: *isExpressionIdentifier /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:30152:44
      3    0.0%    0.1%  LazyCompile: *isBlockScopedNameDeclaredBeforeUse /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13613:52
      3    0.0%    0.1%  LazyCompile: *isAmbientModule /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:4488:29
      3    0.0%    0.1%  LazyCompile: *instantiateTypeWithSingleGenericCallSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22729:63
      3    0.0%    0.1%  LazyCompile: *getWidenedTypeForVariableLikeDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:15520:58
      3    0.0%    0.1%  LazyCompile: *getUnionType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17178:30
      3    0.0%    0.1%  LazyCompile: *getTypeFromTypeNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:17314:37
      3    0.0%    0.1%  LazyCompile: *getTokenValue /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:3293:37
      3    0.0%    0.1%  LazyCompile: *getSymbolOfNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:14226:33
      3    0.0%    0.1%  LazyCompile: *getSignaturesOfType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:16532:37
      3    0.0%    0.1%  LazyCompile: *getNodeLinks /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13581:30
      3    0.0%    0.1%  LazyCompile: *getEffectiveCallArguments /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21356:43
      3    0.0%    0.1%  LazyCompile: *getEffectiveArgument /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:21499:38
      3    0.0%    0.1%  LazyCompile: *getContextualType /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:20241:35
      3    0.0%    0.1%  LazyCompile: *finishNode /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:7437:28
      3    0.0%    0.1%  LazyCompile: *fillSignature /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:8149:31
      3    0.0%    0.1%  LazyCompile: *emitNodeWithSourceMap /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:34907:43
      3    0.0%    0.1%  LazyCompile: *emitLines /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:29738:31
      3    0.0%    0.1%  LazyCompile: *checkVariableDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:24007:42
      3    0.0%    0.1%  LazyCompile: *checkUnreachable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:13118:34
      3    0.0%    0.1%  LazyCompile: *checkFunctionOrMethodDeclaration /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23729:50
      3    0.0%    0.1%  LazyCompile: *checkFunctionOrConstructorSymbol /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23267:50
      3    0.0%    0.1%  LazyCompile: *checkCollisionWithCapturedThisVariable /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:23801:56
      3    0.0%    0.1%  LazyCompile: *checkBinaryLikeExpression /Users/noj/Documents/dev/personal/TypeScript/built/local/tsc.js:22483:43
      2    0.0%    0.0%  Stub: ToBooleanStub(Undefined)
      2    0.0%    0.0%  Stub: StoreTransitionStub {3}
      2    0.0%    0.0%  Stub: StoreTransitionStub {2}
      2    0.0%    0.0%  Stub: RecordWriteStub {5}
      2    0.0%    0.0%  Stub: RecordWriteStub {14}
      2    0.0%    0.0%  Stub: LoadFieldStub {4}
      2    0.0%    0.0%  Stub: LoadFieldStub {3}
      2    0.0%    0.0%  Stub: LoadFieldStub {1}
      2    0.0%    0.0%  Stub: LoadConstantStub {3}
      2    0.0%    0.0%  Stub: LoadConstantStub {10}
      2    0.0%    0.0%  Stub: LoadConstantStub
      2    0.0%    0.0%  Stub: FastNewContextStub {1}
      2    0.0%    0.0%  Stub: CompareICStub {3}
      2    0.0%    0.0%  Stub: CompareICStub {1}
      2    0.0%    0.0%  Stub: CallFunctionStub
